Country,WHO Region,Population,Geographical Region,WHO Group,DALY,Adult DALYs,Children DALYs,Retention Rate,Retention Rate (ADULT),Retention Rate (CHILD),# Receiving Treatment,# Needing Treatment,% Treatment Coverage,# Receiving Treatment,# Needing Treatment,% Treatment Coverage,# Receiving Treatment,# Needing Treatment,% Treatment Coverage,Estimated adults (15+) living with HIV,Estimated children (0-14) living with HIV,# Adult Prevalent Cases Receiving Treatment,# Children Prevalent Cases Receiving Treatment,3TC,ABC,AZT,ddl,d4T,EFV,FTC,LPV/r,NVP,TDF,ATV/r,Overall Treatment Impact,,,,,,average of 2013 antiretroviral treatment. ,,,Treatment Regimen Proportion and Efficacy Section,,,,,impact =daly*treatment cover*x/(1-treatment cover*x)/number of drugs,,,,,,Originator Company,Drug(s),Final Impact,,,,,Afghanistan,9224.366,Afghanistan,1528.182,,Afghanistan,500,26,0.11,,,Country,All ages,Children (0-14),Adults (15+),Year,,http://apps.who.int/gho/data/node.main.626?lang=en,Estimated antiretroviral therapy coverage among people living with HIV (%),Reported number of people receiving antiretroviral therapy,Cleaned coverage,Cleaned number of people receiving antiretroviral therapy,Computed Impact Score (3TC),Computed Impact Score (ABC),Computed Impact Score (AZT),Computed Impact Score (ddl),Computed Impact Score (d4T),Computed Impact Score (EFV),Computed Impact Score (FTC),Computed Impact Score (LPV/r),Computed Impact Score (NVP),Computed Impact Score (TDF),Computed Impact Score (ATV/r),Computed Overall Treatment Impact
Aruba,AMR,104341,,B,0,0,0,97.14,97.14,97.14,,,0.3637163359,,,0.3637163359,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Bhutan,Grenada,,,,,,d4T + 3TC + NVP,0,0.843,0.03,0.843,3,0,0.0225902925,,,,,,,,,,,Austria,2459.371,Azerbaijan,54.72095,,Bahrain,,,,,,Belarus,87,,,2015,,Azerbaijan,28 [20-39],3 033,0.28,3033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,WPR,23789338,,A,4843.3814,4679.178,164.2034,97.14,97.14,97.14,24169,26854.44444,0.9,24150,26754.44444,0.9026537647,19,100,0.9,2260.800215,,2040.719825,,28.29496571,0.4196127554,10.59212153,0.009244046329,0.04771365792,21.62148955,7.61552487,2.326812355,11.58183295,25.56709452,0.3883414316,108.4647534,,Bosnia and Herzegovina,Guatemala,,,,,,d4T + 3TC + LPV/r,0,0.7512465753,0.02,0.5,3,0,0.0089325,,,,"Treatment Coverage By Region, Age Group & Sex (2010 data)",,,,"% Necessary for missing data (Columns K, N, Q)",,,Azerbaijan,4968.917,Bahrain,26.57196,,Bangladesh,500,90,0.31,,,Bhutan,100,,,2015,,Bahamas,37 [34-41],2 992,0.37,2992,28.20148100590473,0.4193224862957055,10.559580119602321,0.009244046328681128,0.04771365791644804,21.545670547414915,7.5895715711813105,2.3204913146427413,11.545680535183445,24.81764450916813,0.3871958875018507,107.44359568114028
Austria,EUR,8633169,Europe and Central Asia,A,2459.371,2459.371,0,97.14,97.14,97.14,,,0,,,0,,,,11490.5061,15.41409355,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Botswana,Guyana,,,,Adults 1st line,0.7767996301,AZT + 3TC + LPV/r,0,0.5,0.02,0.5,3,0,0.0089325,,,,Region,Overall,Children,Women,Overall,Children,,Bahrain,983.6522,Bangladesh,1215.904,,Barbados,,8,,,,Bolivia (Plurinational State of),77,75,77,2015,,Bahrain,High-income country,No data,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Azerbaijan,EUR,9649341,Europe and Central Asia,A,5023.63795,4968.917,54.72095,91,91,90,3033,10832.14286,0.28,2960,10732.14286,0.2758069884,73,100,0.83,9900,650.3021881,2730.489185,539.7508161,25.9344138,0.4094426646,9.971884205,0.00893784553,0.04608649812,19.37491097,7.00204341,2.328492877,10.84517862,23.23726794,0.3955959245,99.55425475,,Bulgaria,Haiti,,,,Adults 2nd line,0.7195033333,TDF + 3TC + NVP,0,0.75,0.01,0.655,3,0,0.0058507875,,,,Global,0.47,0.23,0.48,0.363716335887583,0.223496578223735,,Bangladesh,13423.63,Barbados,60.36648,,Belarus,500,218,0.94,,,Bosnia and Herzegovina,100,,100,2015,,Bangladesh,15 [13-18],1 483,0.15,1483,26.32935165397514,0.4109725369927335,10.117762219128611,0.008937845529750119,0.046086498121620426,19.68223662633697,7.1132118951889,2.3608087717879798,11.005623010495954,22.922279236935495,0.40161631694164684,100.3988866114348
Bahamas,AMR,386838,,B,0,0,0,91,91,97.14,2992,8086.486486,0.37,2943,7986.486486,0.3684974619,49,100,0.89,6800,57.5375507,2505.782741,51.20842012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Burkina Faso,Honduras,,,,Children 1st line,0.6887606667,,,,,,,,,,,,Sub-Saharan Africa,0.49,0.21,0.5,0.35835259234724,0,,Barbados,1087.004,Belarus,55.89697,,Belgium,,,,,,Brazil,77,,77,2015,,Barbados,43 [40-47],1 139,0.43,1139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bahrain,EMR,1371855,,A,1010.22416,983.6522,26.57196,48,48,97.14,,,0.3637163359,,,0.3637163359,,,,,,,,38.03194226,0.1517444737,14.14480469,0.0,0.0,29.42419646,10.71046321,3.190680735,15.53064132,35.52990605,0.5968869544,147.3112661,,Burundi,Jamaica,,,,Children 2nd line,0.7100466667,second line Regimens,Adult proportion,Adult efficacy,Children proportion,Children efficacy,number of drugs,adult x,child x,,,,Eastern & Southern Africa,0.56,0.26,0.64,0.363716335887583,0.223496578223735,,Belarus,25524.06,Belgium,138.2092,,Belize,200,90,0.8,,,Bulgaria,78,71,78,2015,,Belarus,20 [16-24],7 392,0.2,7392,38.0319422637266,0.1517444737007262,14.144804686000493,0.0,0.0,29.424196458345527,10.710463207054275,3.190680735233121,15.530641322819172,34.5122603163016,0.5968869543830523,146.29362041756454
Bangladesh,SEA,161200886,"East, South and South-East Asia",A,14639.534,13423.63,1215.904,80,79,90,1483,9886.666667,0.15,1393,9386.666667,0.1484019886,90,500,0.31,6800,15078.9330652452,1009.133523,4674.46925,96.36547235,5.811427933,40.3528013,0.1645177058,0.8420048874,63.99663366,22.17149326,10.71141323,42.69378892,74.03099208,1.277250834,358.4177962,,Cambodia,Mexico,,,,Weighted average,0.7672794239,TDF + 3TC + LPV/r,0.45,0.83,0.24,0.83,3,0.034231275,0.0212646,,,,Western & Central Africa,0.3,0.09,0.18,0.363716335887583,0.223496578223735,,Belgium,2829.539,Belize,374.1436,,Benin,4800,1845,0.39,,,Burundi,90,93,90,2015,,Belgium,High-income country,No data,,,97.23262303106742,5.8149269354343796,40.676237194580146,0.1645177057638126,0.8420048873704442,64.66595697672322,22.415785560583544,10.784868737882917,43.04869181446032,72.64023706916603,1.291012102660642,359.57686201569294
Barbados,AMR,284217,,B,1147.37048,1087.004,60.36648,82,82,97.14,1139,2648.837209,0.43,1131,2648.837209,0.4269798068,8,,,1400,42.27389772,597.7717296,0,17.2586914,0.06814839036,6.402401315,0.0,0.0,13.380694,4.859011923,1.435122309,7.033786498,16.13411664,0.2681005106,66.84007299,,Cameroon,Nicaragua,,,,,,AZT + 3TC + LPV/r,0.2,0.5,0.18,0.5,3,0.009165,0.0096075,,,,Latin America and the Caribbean,0.63,0.39,0.59,1,1,,Belize,4533.936,Benin,35926.87,,Bhutan,,,,,,Cambodia,79,84,78,2015,,Belize,46 [41-52],1 639,0.46,1639,17.389547714114357,0.0686307279157016,6.450142141885731,0.0,0.0,13.483512422121407,4.895782302560529,1.445385209326145,7.086432459686174,15.79659021912553,0.26999992554116464,66.88602312227674
Belarus,EUR,9489616,Europe and Central Asia,A,25579.95697,25524.06,55.89697,87,97.14,97.14,7392,36960,0.2,7174,36460,0.1967635765,218,500,0.94,22000,639.5377724,4328.798683,601.1655061,131.7777158,1.052728362,49.84185608,0.01494154053,0.07716629599,100.3103669,36.60652843,11.51594422,54.4774398,121.2299825,2.093400962,508.9980709,,Cape Verde,Panama,,,,,,TDF + 3TC + ATV/r,0.09,0.65,0,0.65,3,0.005361525,0,,,,Latin America,0.64,0.44,0.64,0.363716335887583,0.223496578223735,,Benin,102444.2,Bermuda,10.71135,,Bolivia (Plurinational State of),500,173,0.48,,,Cameroon,60,,,2015,,Benin,49 [38-65],33 602,0.49,33602,133.98233091792318,1.0614879603748577,50.66116049316451,0.014941540526451299,0.07716629599079204,102.01729576623585,37.22745144941607,11.700270288969133,55.377264529671436,119.66324517494849,2.127859428611443,513.9104738458323
Belgium,EUR,11274196,Europe and Central Asia,A,2967.7482,2829.539,138.2092,97.14,97.14,97.14,,,0,,,0,,,,15005.63906,20.12951581,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Central African Republic,Paraguay,,,,,,TDF + FTC + LPV/r,0.08,0.652,0,0.7125,3,0.004780464,0,,,,The Caribbean,0.6,0.25,0.46,0.363716335887583,0.223496578223735,,Bermuda,412.5798,Bhutan,221.0629,,Bosnia and Herzegovina,,1,,,,Cape Verde,96,97,96,2015,,Bhutan,No data,No data,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belize,AMR,359288,Latin America and the Caribbean,B,4908.0796,4533.936,374.1436,97.14,97.14,97.14,1639,3563.043478,0.46,1549,3363.043478,0.4605946994,90,200,0.8,2800,27.4591884,1289.665158,21.96735072,14.64897557,0.6940941926,6.037697249,0.01871563721,0.09646223021,10.04816758,3.492806463,1.482417749,6.43567381,11.68234496,0.1916908475,54.82904629,,Chad,Peru,,,,,,AZT + 3TC + ATV/r,0.03,0.757,0,0.757,3,0.0020813715,0,,,,"East, South and South-East Asia",0.39,0.39,0.16,0.251804674346229,0.453724914910915,,Bhutan,704.6815,Bolivia,23.27898,,Botswana,8500,8490,0.95,,,Chile,97,,97,2015,,Bolivia (Plurinational State of),29 [18-39],5 274,0.29,5274,14.631712709900413,0.6940312432052693,6.031416479282523,0.01871563720877538,0.09646223020534547,10.034575424711964,3.487957950514685,1.48107628129753,6.428743983909126,11.339676449001123,0.19144292072934144,54.435811309966105
Benin,AFR,10575952,Sub-Saharan Africa,A,138371.07,102444.2,35926.87,97.14,97.14,97.14,33602,68575.5102,0.49,31757,63775.5102,0.49794976,1845,4800,0.39,61000,9400,30374.93536,3666,400.556193,30.52022018,171.8544625,0.8747829865,4.482264043,255.9980365,85.84425354,46.00300049,180.47193,289.014673,4.68317499,1470.302991,,China,Saint Lucia,,,,,,ABC + 3TC + LPV/r,0.03,0.63,0.24,0.63,3,0.001732185,0.0161406,,,,Europe and Central Asia,0.23,0.65,0.79,0,1,,Bolivia,4419.861,Bosnia and Herzegovina,3.249679,,Brazil,7500,5657,0.76,,,China,87,89,87,2015,,Bosnia and Herzegovina,No data,126,,126,395.28116527159136,30.50120493881021,169.9409362841666,0.8747829864629778,4.4822640428615195,251.8355145382194,84.36350781010003,45.59711695091912,178.35946533884496,276.1967975586514,4.608271707919331,1442.0410274285468
Bermuda,AMR,65235,,B,423.29115,412.5798,10.71135,97.14,97.14,97.14,,,0.3637163359,,,0.3637163359,,,,,,,,0.8773595101,0.003500595793,0.3263067351,0.0,0.0,0.6787872786,0.2470798543,0.07360586707,0.3582766236,0.819639995,0.0137695951,3.398326055,,Comoros,Saint Vincent and the Grenadines,,,,,,AZT + 3TC + TDF + LPV/r,0.02,0.7785,0,0.834,4,0.0014269905,0,,,,Middle East and North Africa,0.1,0.05,0.04,0,0,,Bosnia and Herzegovina,137.4223,Botswana,44678.92,,Brunei Darussalam,,,,,,Colombia,68,66,68,2015,,Botswana,78 [73-83],272 972,0.78,272972,0.8773595101021401,0.003500595793493165,0.32630673510556163,0.0,0.0,0.6787872786204001,0.24707985427477264,0.0736058670720691,0.35827662358323975,0.7961639085813261,0.013769595101203739,3.3748499682342064
Bhutan,SEA,787386,"East, South and South-East Asia",A,925.7444,704.6815,221.0629,97.14,97.14,97.14,,,0.2518046743,,,0.2518046743,,,,1000,64.9285972947765,251.8046743,0,1.018766015,0.004138644036,0.3805487001,0.0,0.0,0.7853120816,0.2870068419,0.08678810967,0.4173974705,0.9506391159,0.01627519505,3.946872174,,Cote d'Ivoire,Suriname,,,,,,TDF + FTC + ATV/r,0.02,0.7941666667,0,0.7941666667,3,0.0014557075,0,,,,,,,,,,,Botswana,411632,Brazil,46066.48,,Bulgaria,,5,,,,Cote d'Ivoire,76,,,2015,,Brazil,55 [41-74],457 886,0.55,457886,1.0187660146696866,0.004138644035132819,0.3805487000693232,0.0,0.0,0.7853120814020472,0.28700684188035697,0.08678810965763108,0.4173974704479967,0.9228966017320852,0.016275195042368483,3.9191296589366282
Bolivia,AMR,10724705,Latin America and the Caribbean,B,4443.13998,4419.861,23.27898,97.14,97.14,97.14,,,0.3637163359,,,1,,,,16000,819.6535792,16000,0,28.95903395,0.1031993158,10.45157603,0.0,0.0,22.91666465,8.109017686,2.203913468,11.54094645,27.2523059,0.4065270656,111.9431845,,Democratic Republic of the Congo,,,,,,,ABC + 3TC + ATV/r,0.01,0.7785,0,0.834,3,0.00071349525,0,,,,,,,,,,,Brazil,910360.7,Brunei,7.095108,,Burkina Faso,7700,2349,0.31,,,Croatia,93,100,93,2015,,Brunei Darussalam,High-income country,No data,,,9.398926175444254,0.03750097999083933,3.495639904160123,0.0,0.0,7.271673068023302,2.6469027611016127,0.7885206722263728,3.838125074924273,8.5290986353335,0.14751012137191752,36.15389739257619
"Bonaire, Saint Eustatius and Saba",AMR,,,B,0,0,0,97.14,97.14,97.14,,,0.3637163359,,,0.3637163359,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Djibouti,,,,,,,Others,0.07,0.7785,0.12,0.834,,0.00499446675,0.01068354,,,,,,,,,,,Brunei,154.304,Bulgaria,111.4011,,Burundi,9100,2654,0.29,,,Cuba,96,100,96,2015,,Bulgaria,No data,824,,824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,EUR,3535961,Europe and Central Asia,A,140.671979,137.4223,3.249679,97.14,97.14,97.14,126,,0,125,,0,1,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Egypt,,,,,,,AZT + ddl + LPV/r,0,0.7785,0.05,0.834,3,0,0.004451475,,,,,,,,,,,Bulgaria,2487.548,Burkina Faso,53458.29,,Cabo Verde,200,65,0.47,,,Democratic Republic of the Congo,86,,,2015,,Burkina Faso,55 [45-67],52 304,0.55,52304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Botswana,AFR,2209197,Sub-Saharan Africa,A,456310.92,411632,44678.92,97.14,97.14,97.14,272972,349964.1026,0.78,264482,341464.1026,0.7745528681,8490,8500,0.95,310000,11000,240111.3891,10450,2332.291709,99.9827681,947.0652812,2.655487925,13.71638206,1630.740964,562.1364243,223.1478707,1013.53278,1889.837275,29.30053281,8744.407475,,Eritrea,,,,,,,AZT + 3TC + IDV/r,0,0.7785,0.04,0.834,3,0,0.00356118,,,,,,,,,,,Burkina Faso,134589.2,Burundi,58894.3,,Cambodia,,,,,,Djibouti,86,67,86,2015,,Burundi,54 [43-65],42 169,0.54,42169,2348.382976801233,100.03516324303038,952.7437759874183,2.6554879250654073,13.71638205982078,1643.6810029919277,566.623006944726,224.28187452079962,1019.8299285763426,1854.7161191825417,29.507191847090343,8756.172910079995
Brazil,AMR,205962108,Latin America and the Caribbean,B,956427.18,910360.7,46066.48,77,77,97.14,457886,832520,0.55,452229,825020,0.5481430753,5657,7500,0.76,557400,15740.99978,305534.9502,11963.15983,26289.59234,698.9335161,10268.91329,17.60241657,90.67223413,19232.99969,6809.368921,2405.368229,11107.3162,22729.25285,368.4834049,100018.5031,,Ethiopia,,,,,,,AZT + 3TC + EFV + LPV/r,0,0.7785,0.04,0.834,4,0,0.00356118,,,,,,,,,,,Burundi,156313.8,Cambodia,9475.154,,Cameroon,39000,7096,0.18,,,Dominica,100,,100,2015,,C̫te d'Ivoire,35 [30-40],161 173,0.35,161173,26379.35855981676,699.250983210581,10301.314024777146,17.602416567409946,90.67223413342222,19304.091285293394,6834.541633007496,2412.1628203245027,11143.118080731272,22183.174388302403,369.7342612079323,99735.02068737234
British Virgin Islands,AMR,30113,,B,0,0,0,97.14,97.14,97.14,,,0.3637163359,,,0.3637163359,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Fiji,,,,,,,ABC + ddl + LPV/r,0,0.652,0.03,0.652,3,0,0.00208803,,,,,,,,,,,Cambodia,117498.3,Cameroon,282119.7,,Canada,,,,,,Dominican Republic,95,99,95,2015,,Cabo Verde,42 [35-51],1 355,0.42,1355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brunei Darussalam,WPR,417542,,A,0,0,0,97.14,97.14,97.14,,,0.3637163359,,,0.3637163359,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Gabon,,,,,,,d4T + 3TC + NVP,0,0.843,0.02,0.843,3,0,0.001799805,,,,,,,,,,,Cameroon,1534503,Canada,300.6256,,Central African Republic,9400,2403,0.25,,,Egypt,80,94,80,2015,,Cambodia,74 [67-82],54 929,0.74,54929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
